Time (s) Run #1,Time (s) Run #2,Time (s) Run #3,Time (s) Run #4,Time (s) Run #5,Time (s) Run #6,Time (s) Run #7,Time (s) Run #8,Time (s) Run #9,Time (s) Run #10,Position (m) Run #1,Position (m) Run #2,Position (m) Run #3,Position (m) Run #4,Position (m) Run #5,Position (m) Run #6,Position (m) Run #7,Position (m) Run #8,Position (m) Run #9,Position (m) Run #10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,,,,,,,,,
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,
0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,,,,,,,,,,
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,,,,
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,1.22,,,,,,
0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,1.19,,,,,,
0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,,,,1.15,,,,1.37,,
0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,,,1.11,,,,1.35,,
0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,,,,1.07,1.27,,,1.32,,
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,1.03,1.23,,,1.29,,
0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,1.03,1.17,,0.98,1.19,,,1.24,,1.29
0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1.0,1.14,1.21,0.93,1.16,,,1.2,,1.26
0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.96,1.1,1.17,0.88,1.11,1.35,1.25,1.16,,1.22
0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.93,1.06,1.13,0.83,1.07,1.32,1.21,1.12,,1.18
0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.89,1.01,1.09,0.77,1.03,1.3,1.18,1.07,,1.14
0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.85,0.97,1.05,0.72,0.98,1.27,1.14,1.03,,1.1
0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.79,0.92,1.01,0.66,0.93,1.22,1.09,0.98,,1.06
0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.73,0.87,0.96,0.6,0.88,1.18,1.05,0.93,1.3,1.01
0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.68,0.82,0.92,0.55,0.84,1.13,1.01,0.88,1.27,0.96
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.62,0.77,0.87,0.49,0.79,1.09,0.96,0.82,1.25,0.91
1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,0.57,0.72,0.83,0.43,0.74,1.04,0.92,0.77,1.19,0.85
1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.51,0.67,0.78,0.38,0.68,1.0,0.87,0.72,1.13,0.8
1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,0.45,0.62,0.73,0.32,0.63,0.95,0.82,0.67,1.09,0.75
1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,0.38,0.57,0.68,0.32,0.58,0.9,0.77,0.61,1.03,0.7
1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,0.32,0.51,0.64,0.24,0.52,0.85,0.73,0.56,0.98,0.64
1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,0.26,0.46,0.59,0.15,0.47,0.79,0.68,0.51,0.93,0.59
1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,0.2,0.41,0.53,,0.42,0.74,0.63,0.45,0.87,0.54
1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.14,0.34,0.49,,0.36,0.69,0.58,0.4,0.82,0.48
1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,0.12,,0.44,,0.3,0.63,0.53,0.35,0.76,0.42
1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,,0.39,,0.25,0.58,0.48,0.29,0.71,0.37
1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,,,0.34,,0.19,0.53,0.43,0.24,0.65,0.31
1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,,,0.29,,0.13,0.47,0.37,0.21,0.6,0.26
1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,,,0.26,,0.11,0.42,0.32,0.13,0.54,0.2
